Region,Market,Chart,Name,Unit,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Worldwide,Digital Fitness & Well-Being,Revenue ,Total,USD (US$),Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,565,032,924.788","16,501,080,111.143","22,305,158,453.121","28,412,927,730.54","35,398,054,649.717","41,708,928,618.022","50,008,592,784.072","58,641,250,104.48","65,731,657,945.252","71,660,597,967.855","76,366,780,197.845","80,278,572,637.539","83,425,044,242.785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Digital Fitness & Well-Being,Revenue ,Health & wellness coaching,USD (US$),Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,732,073,621.739","2,677,257,554.767","4,059,947,642.372","7,292,761,096.671","9,264,725,679.506","10,912,564,189.172","14,217,283,320.729","17,371,098,516.396","20,067,161,006.015","22,258,228,590.412","23,933,290,222.374","25,404,266,156.413","26,609,845,950.406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Digital Fitness & Well-Being,Revenue ,Fitness Trackers,USD (US$),Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,832,959,303.049","13,823,822,556.376","18,245,210,810.749","21,120,166,633.869","26,133,328,970.211","30,796,364,428.85","35,791,309,463.343","41,270,151,588.084","45,664,496,939.237","49,402,369,377.443","52,433,489,975.471","54,874,306,481.126","56,815,198,292.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Digital Fitness & Well-Being,Revenue Change,Total,percent,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,0.352,0.274,0.246,0.178,0.199,0.173,0.121,0.09,0.066,0.051,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Digital Fitness & Well-Being,Revenue Change,Health & wellness coaching,percent,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546,0.516,0.796,0.27,0.178,0.303,0.222,0.155,0.109,0.075,0.061,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Digital Fitness & Well-Being,Revenue Change,Fitness Trackers,percent,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0.32,0.158,0.237,0.178,0.162,0.153,0.106,0.082,0.061,0.047,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Digital Fitness & Well-Being,Average Revenue per User ,Average,USD (US$),Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.139,58.111,55.446,47.51,47.916,47.983,49.061,50.756,51.864,52.893,53.842,54.706,55.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Digital Fitness & Well-Being,Average Revenue per User ,Health & wellness coaching,USD (US$),Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,8.879,9.576,11.07,11.958,12.432,14.45,16.371,17.899,18.99,19.762,20.395,20.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Digital Fitness & Well-Being,Average Revenue per User ,Fitness Trackers,USD (US$),Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.018,100.005,93.176,80.313,70.659,64.749,58.948,55.394,52.993,52.098,51.948,52.147,52.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Digital Fitness & Well-Being,Brand Shares (BETA),Huawei,percent,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Digital Fitness & Well-Being,Brand Shares (BETA),Garmin,percent,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Digital Fitness & Well-Being,Brand Shares (BETA),Amazfit,percent,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Digital Fitness & Well-Being,Brand Shares (BETA),Strava,percent,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Digital Fitness & Well-Being,Brand Shares (BETA),Withings,percent,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Digital Fitness & Well-Being,Brand Shares (BETA),Samsung,percent,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Digital Fitness & Well-Being,Brand Shares (BETA),MyFitnessPal,percent,Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
